OTUid,superkingdom,kingdom,phylum,class,order,family,genus,species
OTU1,Archaea,,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Aeropyrum pernix
OTU2,Archaea,,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus
OTU3,Archaea,,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus hospitalis
OTU10,Archaea,,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,Sulfurisphaera tokodaii
OTU11,Archaea,,Crenarchaeota,Thermoprotei,Thermofilales,Thermofilaceae,Thermofilum,Thermofilum pendens
OTU13,Archaea,,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum aerophilum
OTU14,Archaea,,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum arsenaticum
OTU15,Archaea,,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum calidifontis
OTU17,Archaea,,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum neutrophilum
OTU18,Archaea,,Candidatus Thermoplasmatota,,,,Aciduliprofundum,Aciduliprofundum boonei
OTU19,Archaea,,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus
OTU21,Archaea,,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui
OTU23,Archaea,,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium mukohataei
OTU24,Archaea,,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi
OTU25,Archaea,,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus utahensis
OTU26,Archaea,,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,Halorubrum lacusprofundi
OTU27,Archaea,,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,Haloterrigena turkmenica
OTU28,Archaea,,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas pharaonis
OTU29,Archaea,,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae
OTU30,Archaea,,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter,Methanothermobacter thermautotrophicus
OTU31,Archaea,,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus fervens
OTU32,Archaea,,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii
OTU34,Archaea,,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus aeolicus
OTU35,Archaea,,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis
OTU36,Archaea,,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus vannielii
OTU37,Archaea,,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella arvoryzae
OTU38,Archaea,,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella paludicola
OTU39,Archaea,,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum
OTU40,Archaea,,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus marisnigri
OTU41,Archaea,,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,Methanoregula boonei
OTU42,Archaea,,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula,Methanosphaerula palustris
OTU43,Archaea,,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei
OTU44,Archaea,,Euryarchaeota,Methanomicrobia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix thermoacetophila
OTU45,Archaea,,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii
OTU46,Archaea,,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina acetivorans
OTU47,Archaea,,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri
OTU48,Archaea,,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei
OTU49,Archaea,,Euryarchaeota,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri
OTU52,Archaea,,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus gammatolerans
OTU53,Archaea,,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus kodakarensis
OTU54,Archaea,,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus onnurineus
OTU57,Archaea,,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma acidophilum
OTU61,Archaea,,Thaumarchaeota,,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus maritimus
OTU62,Bacteria,,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum
OTU63,Bacteria,,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella mallensis
OTU64,Bacteria,,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella tundricola
OTU65,Bacteria,,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus roseus
OTU66,Bacteria,,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus saanensis
OTU67,Bacteria,,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Candidatus Koribacter,Candidatus Koribacter versatilis
OTU68,Bacteria,,Acidobacteria,Blastocatellia,,,Chloracidobacterium,Chloracidobacterium thermophilum
OTU69,Bacteria,,Acidobacteria,Acidobacteriia,Bryobacterales,Solibacteraceae,Candidatus Solibacter,Candidatus Solibacter usitatus
OTU70,Bacteria,,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,Acidimicrobium ferrooxidans
OTU71,Bacteria,,Actinobacteria,Actinomycetia,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus cellulolyticus
OTU72,Bacteria,,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium haemolyticum
OTU73,Bacteria,,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus curtisii
OTU74,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Beutenbergiaceae,Beutenbergia,Beutenbergia cavernae
OTU75,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium linens
OTU76,Bacteria,,Actinobacteria,Actinomycetia,Catenulisporales,Catenulisporaceae,Catenulispora,Catenulispora acidiphila
OTU77,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas fimi
OTU78,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas flavigena
OTU79,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium accolens
OTU80,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
OTU81,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium aurimucosum
OTU82,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium diphtheriae
OTU83,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium efficiens
OTU84,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum
OTU85,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium jeikeium
OTU86,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
OTU87,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis
OTU88,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium resistens
OTU89,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium tuberculostearicum
OTU90,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ulcerans
OTU91,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium urealyticum
OTU92,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium variabile
OTU93,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium faecium
OTU94,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Kytococcaceae,Kytococcus,Kytococcus sedentarius
OTU95,Bacteria,,Actinobacteria,Actinomycetia,Frankiales,Frankiaceae,Frankia,
OTU96,Bacteria,,Actinobacteria,Actinomycetia,Frankiales,Frankiaceae,Frankia,Frankia alni
OTU97,Bacteria,,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Blastococcus,Blastococcus saxobsidens
OTU98,Bacteria,,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Geodermatophilus,Geodermatophilus obscurus
OTU99,Bacteria,,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Modestobacter,Modestobacter marinus
OTU100,Bacteria,,Actinobacteria,Actinomycetia,Glycomycetales,Glycomycetaceae,Stackebrandtia,Stackebrandtia nassauensis
OTU101,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,,
OTU102,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia bronchialis
OTU103,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia polyisoprenivorans
OTU104,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Intrasporangium,Intrasporangium calvum
OTU105,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Janibacter,
OTU106,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Jonesiaceae,Jonesia,Jonesia denitrificans
OTU107,Bacteria,,Actinobacteria,Actinomycetia,Kineosporiales,Kineosporiaceae,Kineococcus,Kineococcus radiotolerans
OTU108,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium testaceum
OTU109,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Clavibacter,Clavibacter michiganensis
OTU110,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia xyli
OTU111,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,
OTU112,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Glutamicibacter,Glutamicibacter arilaitensis
OTU113,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Paenarthrobacter,Paenarthrobacter aurescens
OTU114,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter chlorophenolicus
OTU115,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter phenanthrenivorans
OTU116,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Kocuria,Kocuria rhizophila
OTU117,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus
OTU118,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Renibacterium,Renibacterium salmoninarum
OTU119,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Rothia,Rothia dentocariosa
OTU120,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Rothia,Rothia mucilaginosa
OTU121,Bacteria,,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,
OTU122,Bacteria,,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes missouriensis
OTU123,Bacteria,,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Micromonospora,
OTU124,Bacteria,,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora aurantiaca
OTU125,Bacteria,,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Salinispora,Salinispora arenicola
OTU126,Bacteria,,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Salinispora,Salinispora tropica
OTU127,Bacteria,,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora maris
OTU128,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Hoyosella,Hoyosella subflava
OTU129,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,
OTU130,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacteroides,Mycobacteroides abscessus
OTU131,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis
OTU132,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium
OTU133,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis
OTU134,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium canettii
OTU135,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium chubuense
OTU136,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium gilvum
OTU137,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium intracellulare
OTU138,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium intracellulare
OTU139,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium leprae
OTU140,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium marinum
OTU141,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium rhodesiae
OTU142,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacter,Mycolicibacter sinensis
OTU143,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium smegmatis
OTU144,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis
OTU145,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium ulcerans
OTU146,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium vanbaalenii
OTU147,Bacteria,,Actinobacteria,Actinomycetia,Nakamurellales,Nakamurellaceae,Nakamurella,Nakamurella multipartita
OTU148,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Nocardia,Nocardia brasiliensis
OTU149,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Nocardia,Nocardia cyriacigeorgica
OTU150,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Nocardia,Nocardia farcinica
OTU151,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,,
OTU152,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis
OTU153,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus jostii
OTU154,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus opacus
OTU155,Bacteria,,Actinobacteria,Actinomycetia,Propionibacteriales,Kribbellaceae,Kribbella,Kribbella flavida
OTU156,Bacteria,,Actinobacteria,Actinomycetia,Propionibacteriales,Nocardioidaceae,Nocardioides,
OTU157,Bacteria,,Actinobacteria,Actinomycetia,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Nocardiopsis alba
OTU158,Bacteria,,Actinobacteria,Actinomycetia,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Nocardiopsis dassonvillei
OTU159,Bacteria,,Actinobacteria,Actinomycetia,Streptosporangiales,Nocardiopsaceae,Thermobifida,Thermobifida fusca
OTU160,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Promicromonosporaceae,Isoptericola,Isoptericola variabilis
OTU161,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Promicromonosporaceae,Xylanimonas,Xylanimonas cellulosilytica
OTU162,Bacteria,,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Microlunatus,Microlunatus phosphovorus
OTU163,Bacteria,,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionibacterium,
OTU164,Bacteria,,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium acidipropionici
OTU165,Bacteria,,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes
OTU166,Bacteria,,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii
OTU167,Bacteria,,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Propionibacterium,
OTU168,Bacteria,,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,Actinosynnema mirum
OTU169,Bacteria,,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis mediterranei
OTU170,Bacteria,,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia dioxanivorans
OTU171,Bacteria,,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,Saccharomonospora viridis
OTU172,Bacteria,,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,Saccharopolyspora erythraea
OTU173,Bacteria,,Actinobacteria,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Thermobispora,Thermobispora bispora
OTU174,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Sanguibacteraceae,Sanguibacter,Sanguibacter keddieii
OTU175,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Segniliparaceae,Segniliparus,Segniliparus rotundus
OTU176,Bacteria,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Kitasatospora,Kitasatospora setae
OTU177,Bacteria,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,
OTU178,Bacteria,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces avermitilis
OTU179,Bacteria,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces bingchenggensis
OTU180,Bacteria,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptantibioticus,Streptantibioticus cattleyicolor
OTU181,Bacteria,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor
OTU182,Bacteria,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces flavogriseus
OTU183,Bacteria,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseus
OTU184,Bacteria,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces hygroscopicus
OTU185,Bacteria,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces scabiei
OTU186,Bacteria,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces venezuelae
OTU187,Bacteria,,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger
OTU188,Bacteria,,Actinobacteria,Actinomycetia,Streptosporangiales,Streptosporangiaceae,Streptosporangium,Streptosporangium roseum
OTU189,Bacteria,,Actinobacteria,Actinomycetia,Streptosporangiales,Thermomonosporaceae,Thermomonospora,Thermomonospora curvata
OTU190,Bacteria,,Actinobacteria,Actinomycetia,Micrococcales,Tropherymataceae,Tropheryma,Tropheryma whipplei
OTU191,Bacteria,,Actinobacteria,Actinomycetia,Corynebacteriales,Tsukamurellaceae,Tsukamurella,Tsukamurella paurometabola
OTU192,Bacteria,,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis
OTU193,Bacteria,,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium animalis
OTU194,Bacteria,,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium asteroides
OTU195,Bacteria,,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bifidum
OTU196,Bacteria,,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve
OTU197,Bacteria,,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium catenulatum
OTU198,Bacteria,,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium dentium
OTU199,Bacteria,,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium gallicum
OTU200,Bacteria,,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
OTU201,Bacteria,,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum
OTU202,Bacteria,,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis
OTU203,Bacteria,,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Lancefieldella parvula
OTU204,Bacteria,,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Lancefieldella rimae
OTU205,Bacteria,,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens
OTU206,Bacteria,,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Coriobacterium,Coriobacterium glomerans
OTU207,Bacteria,,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Cryptobacterium,Cryptobacterium curtum
OTU208,Bacteria,,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,
OTU209,Bacteria,,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella lenta
OTU210,Bacteria,,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella uli
OTU211,Bacteria,,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia,Slackia heliotrinireducens
OTU212,Bacteria,,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,Rubrobacter xylanophilus
OTU213,Bacteria,,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,Conexibacter,Conexibacter woesei
OTU214,Bacteria,,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,Aquifex aeolicus
OTU216,Bacteria,,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenivirga,
OTU217,Bacteria,,Aquificae,Aquificae,Aquificales,Aquificaceae,Hydrogenobaculum,
OTU218,Bacteria,,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis albus
OTU219,Bacteria,,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,Desulfurobacterium thermolithotrophum
OTU220,Bacteria,,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,Thermovibrio ammonificans
OTU221,Bacteria,,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Persephonella,Persephonella marina
OTU222,Bacteria,,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,
OTU223,Bacteria,,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,Sulfurihydrogenibium azorense
OTU224,Bacteria,,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,Sulfurihydrogenibium yellowstonense
OTU225,Bacteria,,Bacteroidota,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Rhodothermus,Rhodothermus marinus
OTU226,Bacteria,,Bacteroidota,,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Salinibacter,Salinibacter ruber
OTU227,Bacteria,,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
OTU228,Bacteria,,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae
OTU229,Bacteria,,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis
OTU230,Bacteria,,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes
